feature,statistic,pvalue,pvalue_fdr,significant_fdr
LPC_env_mean,12608399270.0,1.0532650032199263e-40,2.8964787588547974e-40,True
LPC_env_std,12741824607.0,2.4484713177501042e-17,4.752914910926673e-17,True
LPC_freq_deriv_mean,13197929091.0,1.7126723580947623e-16,3.139899323173731e-16,True
LPC_freq_deriv_std,13055011523.0,0.002661112975376599,0.003659030341142824,True
LPC_delta_0_mean,12608399270.0,1.0532650032199263e-40,2.8964787588547974e-40,True
LPC_delta_0_std,12741824607.0,2.4484713177501042e-17,4.752914910926673e-17,True
LPC_delta_3_mean,12929903301.0,0.11425213130442764,0.1256773444348704,False
LPC_delta_3_std,12703365347.0,5.1167107949834345e-23,1.1256763748963557e-22,True
LPC_delta_4_mean,12942585238.0,0.2649701161650311,0.2732504322951883,False
LPC_delta_4_std,12756480705.0,2.134253763368161e-15,3.7068617995341746e-15,True
LPC_delta_5_mean,12951002320.0,0.42005103312393033,0.42005103312393033,False
LPC_delta_5_std,12801307452.0,3.1561843302458563e-10,5.207704144905663e-10,True
Q_MFCC_avg,13946815381.0,8.484707748467036e-279,2.799953556994122e-277,True
PR800,12496736823.5,3.450054690475223e-68,2.277036095713647e-67,True
Derivative_of_MFCC_OverallAverage10,13034475976.5,0.024321989640477364,0.02972687622725011,True
Derivative_of_MFCC_OverallAverage12,13060385685.5,0.0013681209429531724,0.001962956135541508,True
Derivative_of_MFCC_OverallAverage2,13344859778.0,2.8850857715536065e-42,1.0578647829029891e-41,True
Derivative_of_MFCC_OverallAverage3,13141487099.0,6.71268745002557e-10,1.0548508850040183e-09,True
Derivative_of_MFCC_OverallAverage4,13044238781.5,0.009062230347425496,0.011962144058601654,True
Derivative_of_MFCC_OverallAverage9,13085090149.0,4.018309952799397e-05,6.027464929199096e-05,True
fraction_low_energy_overall_fraction,13431527875.5,2.436430969872562e-63,1.340037033429909e-62,True
fraction_low_energy_fraction_std,13418707220.5,6.07765525128198e-60,2.865180332747219e-59,True
fraction_low_energy_derivative_mean,13323175977.5,1.120590133502853e-37,2.844574954276473e-37,True
fraction_low_energy_derivative_std,13637333540.0,7.450177874581114e-131,8.195195662039225e-130,True
rdf_mean,12671467429.0,2.2407688296692827e-28,5.281812241363309e-28,True
rdf_std,12909649907.0,0.020264349957191178,0.025720136484127267,True
rdf_skew,13405113458.0,1.8851632470704634e-56,7.776298394165661e-56,True
rdf_kurt,13715240211.0,7.630277512016287e-163,1.2589957894826872e-161,True
rdf_max,13024402385.0,0.05971056999667432,0.07037317178179472,False
rdf_min,13020889662.0,0.07939208201603484,0.09034271401824655,False
rdf_pos_ratio,12607837060.5,6.990813317033582e-41,2.306968394621082e-40,True
rdf_deriv_std,12460654140.0,1.2826025189006995e-78,1.058147078093077e-77,True
rdf_deriv_mean,12936140493.0,0.17674490912326646,0.18814780648605783,False
